Step,Action,Reward,Q[action],Average action reward,Average general reward
571,0,2.9535,2.2406,2.2406,1.9162
572,0,3.2395,2.2427,2.2427,1.9185
573,0,2.6946,2.2436,2.2436,1.9198
574,0,0.9995,2.2410,2.2410,1.9182
575,0,0.8384,2.2381,2.2381,1.9163
576,0,1.2036,2.2360,2.2360,1.9151
577,5,0.6667,0.0675,0.0675,1.9129
578,0,2.9606,2.2375,2.2375,1.9148
579,0,0.5872,2.2341,2.2341,1.9125
580,0,2.0848,2.2338,2.2338,1.9128
581,0,0.0890,2.2294,2.2294,1.9096
582,0,3.2636,2.2315,2.2315,1.9119
583,0,1.9814,2.2310,2.2310,1.9121
584,0,0.9510,2.2284,2.2284,1.9104
585,0,1.3681,2.2267,2.2267,1.9095
586,0,3.7081,2.2297,2.2297,1.9126
587,0,2.2942,2.2298,2.2298,1.9132
588,5,-0.2615,0.0422,0.0422,1.9095
589,9,-1.4299,-0.5521,-0.5521,1.9039
590,0,2.9942,2.2313,2.2313,1.9057
591,1,-2.0949,-0.8977,-0.8977,1.8989
592,0,2.4885,2.2319,2.2319,1.8999
593,9,1.0153,-0.4401,-0.4401,1.8985
594,0,1.4678,2.2303,2.2303,1.8977
595,2,3.4165,2.0756,2.0756,1.9003
596,0,3.6344,2.2331,2.2331,1.9032
597,0,3.7756,2.2362,2.2362,1.9063
598,0,1.9826,2.2357,2.2357,1.9064
599,0,1.8191,2.2349,2.2349,1.9063
600,0,2.3565,2.2351,2.2351,1.9070
601,0,3.0714,2.2368,2.2368,1.9090
602,0,3.7249,2.2397,2.2397,1.9120
603,0,3.2299,2.2417,2.2417,1.9142
604,0,2.8416,2.2429,2.2429,1.9157
605,0,2.6831,2.2437,2.2437,1.9170
606,0,1.8264,2.2429,2.2429,1.9168
607,0,2.1662,2.2428,2.2428,1.9172
608,0,1.5529,2.2414,2.2414,1.9166
609,0,2.2077,2.2413,2.2413,1.9171
610,0,2.5903,2.2420,2.2420,1.9182
611,0,1.5265,2.2406,2.2406,1.9176
612,0,4.2543,2.2445,2.2445,1.9214
613,0,0.4006,2.2410,2.2410,1.9189
614,0,2.6309,2.2417,2.2417,1.9201
615,0,3.2139,2.2436,2.2436,1.9222
616,0,4.3556,2.2477,2.2477,1.9261
617,2,1.5761,2.0302,2.0302,1.9255
618,0,2.7778,2.2487,2.2487,1.9269
619,4,-0.1626,-0.5857,-0.5857,1.9235
620,0,2.2814,2.2487,2.2487,1.9241
621,8,-0.9923,-0.5975,-0.5975,1.9194
622,0,1.8560,2.2480,2.2480,1.9193
623,0,1.4268,2.2464,2.2464,1.9185
624,0,3.4293,2.2487,2.2487,1.9210
625,0,1.8701,2.2479,2.2479,1.9209
626,0,1.4163,2.2464,2.2464,1.9201
627,0,0.3004,2.2427,2.2427,1.9175
628,0,1.2898,2.2409,2.2409,1.9165
629,0,0.9799,2.2385,2.2385,1.9150
630,7,1.6155,0.8427,0.8427,1.9145
631,0,1.6471,2.2374,2.2374,1.9141
632,0,1.5301,2.2361,2.2361,1.9135
633,0,2.3188,2.2362,2.2362,1.9141
634,8,-0.6671,-0.6021,-0.6021,1.9101
635,0,2.5150,2.2367,2.2367,1.9110
636,3,0.1027,0.8080,0.8080,1.9082
637,0,1.0621,2.2345,2.2345,1.9069
638,0,3.6498,2.2372,2.2372,1.9096
639,0,4.2423,2.2409,2.2409,1.9132
640,0,1.0141,2.2386,2.2386,1.9118
641,0,2.7872,2.2397,2.2397,1.9132
642,9,0.0522,-0.4073,-0.4073,1.9103
643,0,1.9926,2.2392,2.2392,1.9104
644,0,3.9553,2.2424,2.2424,1.9136
645,0,0.2530,2.2387,2.2387,1.9110
646,1,0.4057,-0.7792,-0.7792,1.9087
647,0,2.7313,2.2396,2.2396,1.9100
648,0,1.9920,2.2392,2.2392,1.9101
649,8,0.0002,-0.5645,-0.5645,1.9072
650,0,0.8816,2.2367,2.2367,1.9056
651,4,0.5168,-0.4938,-0.4938,1.9035
652,0,2.0403,2.2363,2.2363,1.9037
653,1,2.2862,-0.5238,-0.5238,1.9043
654,7,1.6693,0.9116,0.9116,1.9039
655,0,3.0453,2.2378,2.2378,1.9056
656,0,2.2309,2.2378,2.2378,1.9061
657,0,1.2463,2.2360,2.2360,1.9051
658,0,3.1407,2.2376,2.2376,1.9070
659,0,2.7006,2.2384,2.2384,1.9082
660,0,3.6032,2.2409,2.2409,1.9108
661,0,1.4932,2.2396,2.2396,1.9101
662,0,1.1043,2.2375,2.2375,1.9089
663,1,-1.9443,-0.6330,-0.6330,1.9031
664,7,-0.2550,0.8218,0.8218,1.8999
665,0,1.1609,2.2356,2.2356,1.8988
666,1,0.2654,-0.5689,-0.5689,1.8963
667,0,2.8921,2.2368,2.2368,1.8978
668,0,2.2392,2.2368,2.2368,1.8983
669,0,3.4750,2.2390,2.2390,1.9007
670,0,1.3635,2.2374,2.2374,1.8999
671,0,4.6289,2.2417,2.2417,1.9039
672,0,2.3778,2.2419,2.2419,1.9046
673,0,0.4519,2.2387,2.2387,1.9025
674,0,2.2394,2.2387,2.2387,1.9030
675,0,3.1383,2.2403,2.2403,1.9048
676,6,1.9765,1.5816,1.5816,1.9049
677,0,3.1508,2.2420,2.2420,1.9068
678,8,-0.6865,-0.5717,-0.5717,1.9029
679,9,0.5010,-0.3505,-0.3505,1.9009
680,0,2.1638,2.2418,2.2418,1.9013
681,0,3.8944,2.2447,2.2447,1.9042
682,0,3.0280,2.2461,2.2461,1.9058
683,0,3.2065,2.2478,2.2478,1.9077
684,2,1.7402,2.0060,2.0060,1.9075
685,8,-0.0266,-0.5414,-0.5414,1.9047
686,0,4.2375,2.2513,2.2513,1.9081
687,4,-0.4683,-0.4918,-0.4918,1.9046
688,4,0.6597,-0.4096,-0.4096,1.9028
689,0,1.0747,2.2492,2.2492,1.9016
690,0,0.7384,2.2466,2.2466,1.8999
691,6,1.6795,1.5925,1.5925,1.8996
692,0,2.9954,2.2479,2.2479,1.9012
693,0,1.5810,2.2467,2.2467,1.9007
694,0,2.9479,2.2479,2.2479,1.9022
695,0,2.8992,2.2491,2.2491,1.9037
696,0,4.0411,2.2522,2.2522,1.9067
697,0,2.5988,2.2528,2.2528,1.9077
698,0,3.6644,2.2552,2.2552,1.9102
699,0,2.5748,2.2558,2.2558,1.9112
700,0,3.5560,2.2580,2.2580,1.9135
701,0,3.6467,2.2604,2.2604,1.9160
702,0,1.0852,2.2584,2.2584,1.9148
703,0,2.2798,2.2584,2.2584,1.9153
704,0,2.4252,2.2587,2.2587,1.9161
705,0,0.9795,2.2565,2.2565,1.9147
706,0,2.6863,2.2573,2.2573,1.9158
707,0,1.7060,2.2563,2.2563,1.9155
708,0,2.7888,2.2572,2.2572,1.9168
709,0,3.2598,2.2589,2.2589,1.9186
710,0,2.9372,2.2601,2.2601,1.9201
711,9,-0.4033,-0.3536,-0.3536,1.9168
712,0,2.3581,2.2602,2.2602,1.9174
713,0,0.8267,2.2578,2.2578,1.9159
714,0,2.6004,2.2584,2.2584,1.9169
715,0,2.5817,2.2589,2.2589,1.9178
716,0,1.7972,2.2582,2.2582,1.9176
717,8,0.0498,-0.5103,-0.5103,1.9150
718,0,2.2063,2.2581,2.2581,1.9154
719,2,2.6882,2.0585,2.0585,1.9165
720,0,2.1613,2.2579,2.2579,1.9168
721,0,0.9348,2.2557,2.2557,1.9155
722,0,2.0572,2.2554,2.2554,1.9157
723,0,2.3769,2.2556,2.2556,1.9163
724,0,1.5844,2.2545,2.2545,1.9159
725,0,2.7872,2.2553,2.2553,1.9171
726,0,1.6398,2.2543,2.2543,1.9167
727,0,2.6382,2.2550,2.2550,1.9177
728,0,2.0831,2.2547,2.2547,1.9179
729,0,2.2221,2.2546,2.2546,1.9183
730,0,3.2488,2.2563,2.2563,1.9201
731,8,-2.2344,-0.5965,-0.5965,1.9144
732,0,1.3617,2.2548,2.2548,1.9137
733,0,3.2568,2.2564,2.2564,1.9155
734,1,-1.8129,-0.6518,-0.6518,1.9105
735,0,1.8309,2.2557,2.2557,1.9103
736,0,0.7324,2.2532,2.2532,1.9087
737,2,1.7411,2.0358,2.0358,1.9085
738,0,2.3220,2.2534,2.2534,1.9091
739,0,3.1719,2.2549,2.2549,1.9108
740,0,2.8351,2.2558,2.2558,1.9120
741,0,1.8261,2.2551,2.2551,1.9119
742,0,1.3890,2.2537,2.2537,1.9112
743,0,2.0567,2.2534,2.2534,1.9114
744,7,1.0391,0.8373,0.8373,1.9102
745,0,2.2671,2.2534,2.2534,1.9107
746,1,-1.9001,-0.7298,-0.7298,1.9056
747,0,1.5745,2.2523,2.2523,1.9052
748,0,3.6649,2.2546,2.2546,1.9075
749,5,0.7253,0.0910,0.0910,1.9059
750,0,0.9056,2.2524,2.2524,1.9046
751,0,2.3173,2.2525,2.2525,1.9052
752,0,1.6491,2.2515,2.2515,1.9048
753,0,1.7444,2.2507,2.2507,1.9046
754,0,2.3231,2.2508,2.2508,1.9052
755,0,1.4818,2.2496,2.2496,1.9046
756,0,1.2741,2.2481,2.2481,1.9038
757,0,1.8746,2.2475,2.2475,1.9037
758,0,2.6047,2.2480,2.2480,1.9047
759,0,3.8543,2.2506,2.2506,1.9072
760,0,1.7938,2.2499,2.2499,1.9071
761,0,1.4712,2.2486,2.2486,1.9065
762,0,0.5367,2.2459,2.2459,1.9047
763,0,1.0171,2.2440,2.2440,1.9035
764,0,0.8363,2.2418,2.2418,1.9021
765,8,-0.7663,-0.6046,-0.6046,1.8987
766,0,2.7872,2.2426,2.2426,1.8998
767,0,2.3868,2.2429,2.2429,1.9005
768,0,4.0217,2.2457,2.2457,1.9032
769,0,2.6157,2.2462,2.2462,1.9041
770,0,2.1245,2.2460,2.2460,1.9044
771,0,3.1608,2.2475,2.2475,1.9061
772,0,3.2368,2.2490,2.2490,1.9078
773,0,2.1885,2.2489,2.2489,1.9081
774,0,2.4563,2.2492,2.2492,1.9088
775,0,1.9456,2.2488,2.2488,1.9089
776,0,1.0807,2.2470,2.2470,1.9078
777,0,2.4875,2.2473,2.2473,1.9086
778,0,1.1706,2.2457,2.2457,1.9076
779,0,2.9878,2.2468,2.2468,1.9090
780,0,1.5579,2.2458,2.2458,1.9086
781,8,-0.1197,-0.5825,-0.5825,1.9060
782,0,2.0098,2.2454,2.2454,1.9061
783,0,2.3593,2.2456,2.2456,1.9067
784,0,2.3876,2.2458,2.2458,1.9073
785,0,2.1473,2.2456,2.2456,1.9076
786,0,2.4219,2.2459,2.2459,1.9082
787,0,1.9133,2.2454,2.2454,1.9083
788,5,0.6538,0.1285,0.1285,1.9067
789,0,2.9916,2.2465,2.2465,1.9080
790,0,1.5969,2.2455,2.2455,1.9076
791,0,1.7700,2.2448,2.2448,1.9075
792,0,2.9753,2.2459,2.2459,1.9088
793,0,2.7266,2.2467,2.2467,1.9098
794,0,2.6752,2.2473,2.2473,1.9108
795,0,2.4262,2.2476,2.2476,1.9115
796,0,1.5665,2.2465,2.2465,1.9110
797,4,-1.9089,-0.5095,-0.5095,1.9062
798,2,1.0966,1.9732,1.9732,1.9052
799,0,1.9479,2.2461,2.2461,1.9053
800,1,-1.6808,-0.7858,-0.7858,1.9008
801,8,-0.6035,-0.5834,-0.5834,1.8977
802,0,0.8929,2.2441,2.2441,1.8964
803,0,1.5817,2.2431,2.2431,1.8960
804,3,0.9187,0.8173,0.8173,1.8948
805,0,2.4262,2.2433,2.2433,1.8955
806,0,4.9112,2.2473,2.2473,1.8992
807,0,2.2194,2.2473,2.2473,1.8996
808,0,2.0147,2.2469,2.2469,1.8998
809,0,2.0438,2.2466,2.2466,1.8999
810,0,0.6054,2.2442,2.2442,1.8983
811,0,2.1473,2.2441,2.2441,1.8986
812,0,2.3577,2.2442,2.2442,1.8992
813,0,2.0244,2.2439,2.2439,1.8994
814,0,1.5278,2.2429,2.2429,1.8989
815,0,0.1447,2.2398,2.2398,1.8968
816,0,0.5566,2.2373,2.2373,1.8951
817,0,0.2310,2.2343,2.2343,1.8931
818,0,1.6915,2.2335,2.2335,1.8928
819,5,-0.7591,0.0730,0.0730,1.8896
820,4,0.0766,-0.4729,-0.4729,1.8874
821,0,3.5516,2.2355,2.2355,1.8894
822,0,1.7731,2.2348,2.2348,1.8893
823,0,2.2555,2.2348,2.2348,1.8897
824,0,1.5486,2.2338,2.2338,1.8893
825,0,3.3404,2.2354,2.2354,1.8911
826,0,2.8253,2.2363,2.2363,1.8922
827,2,1.8359,1.9646,1.9646,1.8921
828,0,2.8427,2.2372,2.2372,1.8933
829,0,2.1407,2.2370,2.2370,1.8936
830,0,2.3654,2.2372,2.2372,1.8941
831,0,1.8058,2.2366,2.2366,1.8940
832,0,2.3736,2.2368,2.2368,1.8946
833,0,2.4230,2.2371,2.2371,1.8952
834,0,2.3270,2.2372,2.2372,1.8958
835,0,0.7758,2.2351,2.2351,1.8944
836,0,2.9720,2.2362,2.2362,1.8957
837,0,1.5972,2.2352,2.2352,1.8954
838,7,1.8910,0.9076,0.9076,1.8953
839,0,3.0589,2.2364,2.2364,1.8967
840,0,1.2169,2.2350,2.2350,1.8959
841,0,2.3644,2.2351,2.2351,1.8965
842,0,3.4360,2.2369,2.2369,1.8983
843,0,1.4270,2.2357,2.2357,1.8977
844,0,2.9346,2.2367,2.2367,1.8990
845,0,0.8922,2.2348,2.2348,1.8978
846,2,1.6978,1.9489,1.9489,1.8975
847,0,2.1118,2.2346,2.2346,1.8978
848,0,1.1531,2.2331,2.2331,1.8969
849,0,2.0976,2.2329,2.2329,1.8972
850,0,0.0292,2.2298,2.2298,1.8950
851,0,2.9383,2.2308,2.2308,1.8962
852,0,1.2650,2.2294,2.2294,1.8954
853,0,3.3848,2.2310,2.2310,1.8972
854,0,2.9305,2.2320,2.2320,1.8984
855,1,-1.0911,-0.8027,-0.8027,1.8949
856,0,2.0637,2.2318,2.2318,1.8951
857,0,4.5926,2.2351,2.2351,1.8982
858,0,3.9502,2.2375,2.2375,1.9006
859,0,3.2729,2.2389,2.2389,1.9022
860,0,2.5810,2.2394,2.2394,1.9030
861,0,0.9810,2.2377,2.2377,1.9020
862,0,0.2158,2.2348,2.2348,1.9000
863,0,2.4260,2.2351,2.2351,1.9006
864,0,3.4947,2.2369,2.2369,1.9025
865,0,0.9133,2.2350,2.2350,1.9013
866,0,1.9848,2.2347,2.2347,1.9014
867,2,-1.0078,1.7847,1.7847,1.8981
868,9,-0.7778,-0.3772,-0.3772,1.8950
869,0,2.6507,2.2353,2.2353,1.8958
870,0,1.7711,2.2346,2.2346,1.8957
871,6,-0.8045,1.3528,1.3528,1.8926
872,7,-2.0643,0.7219,0.7219,1.8881
873,1,0.8969,-0.7133,-0.7133,1.8869
874,5,0.9970,0.1274,0.1274,1.8859
875,0,4.1890,2.2373,2.2373,1.8885
876,8,1.0842,-0.5140,-0.5140,1.8876
877,0,1.9015,2.2368,2.2368,1.8876
878,7,-0.1010,0.6735,0.6735,1.8854
879,6,2.1416,1.4245,1.4245,1.8857
880,0,2.3897,2.2371,2.2371,1.8862
881,0,1.1399,2.2356,2.2356,1.8854
882,0,1.3762,2.2344,2.2344,1.8848
883,0,3.4698,2.2361,2.2361,1.8866
884,0,1.3633,2.2349,2.2349,1.8860
885,0,2.3021,2.2350,2.2350,1.8865
886,0,2.7616,2.2357,2.2357,1.8875
887,0,2.0192,2.2354,2.2354,1.8876
888,0,2.4696,2.2357,2.2357,1.8883
889,0,2.1456,2.2356,2.2356,1.8886
890,0,2.0161,2.2353,2.2353,1.8887
891,0,3.9088,2.2375,2.2375,1.8910
892,7,0.9737,0.6901,0.6901,1.8900
893,0,1.3324,2.2363,2.2363,1.8893
894,0,2.8859,2.2372,2.2372,1.8904
895,0,3.6137,2.2391,2.2391,1.8924
896,0,3.1688,2.2403,2.2403,1.8938
897,4,-0.3672,-0.4667,-0.4667,1.8913
898,0,1.9091,2.2399,2.2399,1.8913
899,0,0.7298,2.2378,2.2378,1.8900
900,0,2.4568,2.2381,2.2381,1.8906
901,0,1.5109,2.2372,2.2372,1.8902
902,0,0.8836,2.2353,2.2353,1.8891
903,0,4.1045,2.2378,2.2378,1.8915
904,3,2.5076,0.9473,0.9473,1.8922
905,0,2.8807,2.2387,2.2387,1.8933
906,7,0.9957,0.7062,0.7062,1.8923
907,9,0.2249,-0.3455,-0.3455,1.8905
908,0,1.6246,2.2379,2.2379,1.8902
909,0,2.7567,2.2386,2.2386,1.8912
910,0,3.2365,2.2399,2.2399,1.8926
911,8,-0.5848,-0.5168,-0.5168,1.8899
912,0,2.4364,2.2402,2.2402,1.8905
913,0,1.8641,2.2397,2.2397,1.8905
914,0,1.4529,2.2386,2.2386,1.8900
915,0,2.8661,2.2394,2.2394,1.8911
916,0,4.2769,2.2421,2.2421,1.8937
917,0,1.8076,2.2416,2.2416,1.8936
918,0,3.2007,2.2428,2.2428,1.8950
919,0,2.5365,2.2432,2.2432,1.8957
920,0,2.8635,2.2440,2.2440,1.8967
921,7,-0.8416,0.6288,0.6288,1.8938
922,0,1.6115,2.2432,2.2432,1.8935
923,0,0.2639,2.2406,2.2406,1.8917
924,0,3.2424,2.2419,2.2419,1.8932
925,0,0.4701,2.2396,2.2396,1.8916
926,3,0.0637,0.8842,0.8842,1.8897
927,0,2.6118,2.2401,2.2401,1.8904
928,0,0.5811,2.2379,2.2379,1.8890
929,0,2.1408,2.2378,2.2378,1.8893
930,0,2.0437,2.2375,2.2375,1.8895
931,0,4.4693,2.2404,2.2404,1.8922
932,0,1.8269,2.2399,2.2399,1.8922
933,6,0.5330,1.3502,1.3502,1.8907
934,4,0.4391,-0.4164,-0.4164,1.8892
935,3,-0.0265,0.8235,0.8235,1.8871
936,1,0.2047,-0.6674,-0.6674,1.8853
937,0,1.7389,2.2393,2.2393,1.8852
938,0,3.1438,2.2404,2.2404,1.8865
939,0,2.1799,2.2403,2.2403,1.8868
940,8,-1.9318,-0.5712,-0.5712,1.8828
941,0,1.5548,2.2395,2.2395,1.8824
942,7,1.7107,0.6803,0.6803,1.8822
943,0,1.8481,2.2390,2.2390,1.8822
944,0,1.8923,2.2385,2.2385,1.8822
945,0,2.3817,2.2387,2.2387,1.8827
946,0,1.6588,2.2380,2.2380,1.8825
947,0,3.4049,2.2394,2.2394,1.8841
948,0,1.2162,2.2381,2.2381,1.8834
949,0,2.2538,2.2382,2.2382,1.8838
950,0,2.7836,2.2389,2.2389,1.8847
951,0,3.6319,2.2406,2.2406,1.8866
952,9,-1.3421,-0.3953,-0.3953,1.8832
953,0,1.0545,2.2391,2.2391,1.8823
954,5,-0.4045,0.0978,0.0978,1.8799
955,0,1.6874,2.2384,2.2384,1.8797
956,0,1.6696,2.2377,2.2377,1.8795
957,0,1.6304,2.2369,2.2369,1.8792
958,2,0.8284,1.7343,1.7343,1.8781
959,9,0.9005,-0.3336,-0.3336,1.8771
960,0,0.9099,2.2353,2.2353,1.8761
961,0,1.6494,2.2345,2.2345,1.8759
962,0,1.6712,2.2338,2.2338,1.8757
963,0,2.2200,2.2338,2.2338,1.8760
964,0,1.1757,2.2325,2.2325,1.8753
965,9,-0.8412,-0.3567,-0.3567,1.8725
966,0,4.0578,2.2347,2.2347,1.8747
967,5,0.6931,0.1292,0.1292,1.8735
968,0,2.8856,2.2356,2.2356,1.8746
969,0,0.8432,2.2338,2.2338,1.8735
970,0,0.7654,2.2320,2.2320,1.8724
971,5,0.7780,0.1616,0.1616,1.8712
972,0,3.0163,2.2330,2.2330,1.8724
973,0,2.4273,2.2332,2.2332,1.8730
974,0,1.9653,2.2329,2.2329,1.8731
975,7,-0.5935,0.6224,0.6224,1.8705
976,0,1.3574,2.2318,2.2318,1.8700
977,0,2.5142,2.2321,2.2321,1.8707
978,7,1.3216,0.6528,0.6528,1.8701
979,0,3.3526,2.2335,2.2335,1.8716
980,0,3.1030,2.2346,2.2346,1.8729
981,1,1.2230,-0.5774,-0.5774,1.8722
982,0,2.3147,2.2347,2.2347,1.8727
983,0,3.1054,2.2358,2.2358,1.8739
984,0,3.5460,2.2374,2.2374,1.8756
985,0,1.2554,2.2362,2.2362,1.8750
986,0,1.4777,2.2353,2.2353,1.8746
987,0,2.7829,2.2359,2.2359,1.8755
988,7,1.3208,0.6807,0.6807,1.8750
989,0,0.6740,2.2340,2.2340,1.8737
990,0,1.2063,2.2327,2.2327,1.8731
991,0,2.0914,2.2326,2.2326,1.8733
992,0,2.3329,2.2327,2.2327,1.8737
993,1,-0.2392,-0.5620,-0.5620,1.8716
994,0,2.0645,2.2325,2.2325,1.8718
995,2,0.5159,1.6734,1.6734,1.8705
996,0,3.0753,2.2335,2.2335,1.8717
997,0,4.2439,2.2360,2.2360,1.8740
998,6,0.7282,1.3024,1.3024,1.8729
999,2,2.6838,1.7215,1.7215,1.8737
