Action,Estimated Action Values,True Action Values,Number of Times Chosen
0,-0.7797733920825597,0.14755623730401185,17.0
1,-0.381775105605563,0.622341411537883,26.0
2,-0.6770416615750581,0.8876102881707272,29.0
3,-0.9007048039768044,0.28932369934661273,21.0
4,-1.3899952982794979,0.9200657259285998,17.0
5,0.9860299216124673,0.11572654621769884,810.0
6,-0.010254160128186921,0.47208106611874157,19.0
7,0.7472921183305988,0.8774948092175591,16.0
8,-0.831004353104659,0.5496766999309769,27.0
9,-0.31126227463544376,0.0,18.0
